Archivo,Número de puntos,Dimensiones,Tamaño de solución,LRC,Valor Objetivo,Puntos de solución,Tiempo de Ejecución
"max_div_15_3.txt",15,3,2,5,11.401202,(1.710000 | 1.950000 | 9.220000) (8.670000 | 9.580000 | 4.390000) ,0.000012
"max_div_15_3.txt",15,3,3,2,31.868526,(9.880000 | 9.880000 | 6.260000) (1.710000 | 1.950000 | 9.220000) (5.170000 | 1.390000 | 0.910000) ,0.000021
"max_div_15_3.txt",15,3,3,3,29.982386,(1.710000 | 1.950000 | 9.220000) (8.670000 | 9.580000 | 4.390000) (5.170000 | 1.390000 | 0.910000) ,0.000017
"max_div_15_3.txt",15,3,3,4,25.579567,(8.670000 | 9.580000 | 4.390000) (2.150000 | 2.480000 | 6.870000) (0.300000 | 0.920000 | 4.230000) ,0.000020
"max_div_15_3.txt",15,3,3,5,24.514792,(9.470000 | 3.560000 | 1.830000) (2.150000 | 2.480000 | 6.870000) (8.420000 | 9.050000 | 4.390000) ,0.000017
"max_div_15_3.txt",15,3,4,2,55.003022,(9.880000 | 9.880000 | 6.260000) (0.300000 | 0.920000 | 4.230000) (6.650000 | 9.450000 | 1.020000) (2.150000 | 2.480000 | 6.870000) ,0.000024
"max_div_15_3.txt",15,3,4,3,59.763759,(9.880000 | 9.880000 | 6.260000) (0.300000 | 0.920000 | 4.230000) (1.710000 | 1.950000 | 9.220000) (6.650000 | 9.450000 | 1.020000) ,0.000022
"max_div_15_3.txt",15,3,4,4,58.395697,(9.880000 | 9.880000 | 6.260000) (5.170000 | 1.390000 | 0.910000) (1.710000 | 1.950000 | 9.220000) (6.650000 | 9.450000 | 1.020000) ,0.000025
"max_div_15_3.txt",15,3,4,5,54.302510,(1.710000 | 1.950000 | 9.220000) (9.470000 | 3.560000 | 1.830000) (8.670000 | 9.580000 | 4.390000) (0.980000 | 6.040000 | 2.470000) ,0.000021
"max_div_15_3.txt",15,3,5,2,94.748719,(1.710000 | 1.950000 | 9.220000) (6.650000 | 9.450000 | 1.020000) (9.470000 | 3.560000 | 1.830000) (9.880000 | 9.880000 | 6.260000) (0.300000 | 0.920000 | 4.230000) ,0.000022
"max_div_15_3.txt",15,3,5,3,85.407266,(9.880000 | 9.880000 | 6.260000) (1.480000 | 2.700000 | 3.630000) (0.300000 | 0.920000 | 4.230000) (6.650000 | 9.450000 | 1.020000) (9.470000 | 3.560000 | 1.830000) ,0.000022
