Archivo,Número de puntos,Dimensiones,Tamaño de solución,LRC,Valor Objetivo,Iteraciones,Puntos de solución,Tiempo de Ejecución
"max_div_30_2.txt",40,30,2,5,4,80.910241,40,1 27 12 10 8 ,0.002276
"max_div_30_2.txt",50,30,2,5,4,80.910241,50,1 27 12 10 8 ,0.003039
"max_div_30_2.txt",10,30,2,5,5,80.910241,10,27 1 8 10 12 ,0.000810
"max_div_30_2.txt",20,30,2,5,5,80.910241,20,27 10 1 12 8 ,0.001190
"max_div_30_2.txt",30,30,2,5,5,80.910241,30,27 1 8 12 10 ,0.001760
"max_div_30_2.txt",40,30,2,5,5,80.910241,40,1 10 12 27 8 ,0.002304
"max_div_30_2.txt",50,30,2,5,5,80.910241,50,8 12 10 27 1 ,0.002855
"max_div_20_3.txt",10,20,3,2,2,11.800309,10,12 13 ,0.000220
"max_div_20_3.txt",20,20,3,2,2,11.800309,20,13 12 ,0.000279
"max_div_20_3.txt",30,20,3,2,2,11.800309,30,12 13 ,0.000400
"max_div_20_3.txt",40,20,3,2,2,11.800309,40,12 13 ,0.000527
"max_div_20_3.txt",50,20,3,2,2,11.800309,50,13 12 ,0.000632
"max_div_20_3.txt",10,20,3,2,3,11.800309,10,12 13 ,0.000160
"max_div_20_3.txt",20,20,3,2,3,11.800309,20,13 12 ,0.000280
"max_div_20_3.txt",30,20,3,2,3,11.800309,30,13 12 ,0.000394
"max_div_20_3.txt",40,20,3,2,3,11.800309,40,12 13 ,0.000529
"max_div_20_3.txt",50,20,3,2,3,11.800309,50,12 13 ,0.000646
"max_div_20_3.txt",10,20,3,2,4,11.800309,10,12 13 ,0.000157
"max_div_20_3.txt",20,20,3,2,4,11.800309,20,12 13 ,0.000285
"max_div_20_3.txt",30,20,3,2,4,11.800309,30,12 13 ,0.000397
"max_div_20_3.txt",40,20,3,2,4,11.800309,40,13 12 ,0.000527
"max_div_20_3.txt",50,20,3,2,4,11.800309,50,13 12 ,0.000667
"max_div_20_3.txt",10,20,3,2,5,11.800309,10,12 13 ,0.000158
"max_div_20_3.txt",20,20,3,2,5,11.800309,20,12 13 ,0.000277
"max_div_20_3.txt",30,20,3,2,5,11.800309,30,12 13 ,0.000393
"max_div_20_3.txt",40,20,3,2,5,11.800309,40,13 12 ,0.000517
"max_div_20_3.txt",50,20,3,2,5,11.800309,50,12 13 ,0.000649
"max_div_20_3.txt",10,20,3,3,2,30.872658,10,12 7 13 ,0.000236
"max_div_20_3.txt",20,20,3,3,2,30.872658,20,13 12 7 ,0.000428
"max_div_20_3.txt",30,20,3,3,2,30.872658,30,13 12 7 ,0.000610
"max_div_20_3.txt",40,20,3,3,2,30.872658,40,13 7 12 ,0.000800
"max_div_20_3.txt",50,20,3,3,2,30.872658,50,12 7 13 ,0.000965
"max_div_20_3.txt",10,20,3,3,3,30.872658,10,13 12 7 ,0.000227
"max_div_20_3.txt",20,20,3,3,3,30.872658,20,13 7 12 ,0.000426
"max_div_20_3.txt",30,20,3,3,3,30.872658,30,13 12 7 ,0.000613
"max_div_20_3.txt",40,20,3,3,3,30.872658,40,13 7 12 ,0.000805
"max_div_20_3.txt",50,20,3,3,3,30.872658,50,12 7 13 ,0.000973
"max_div_20_3.txt",10,20,3,3,4,30.872658,10,12 7 13 ,0.000225
"max_div_20_3.txt",20,20,3,3,4,30.872658,20,12 7 13 ,0.000425
"max_div_20_3.txt",30,20,3,3,4,30.872658,30,12 7 13 ,0.000610
"max_div_20_3.txt",40,20,3,3,4,30.872658,40,13 7 12 ,0.000807
"max_div_20_3.txt",50,20,3,3,4,30.872658,50,13 7 12 ,0.000967
"max_div_20_3.txt",10,20,3,3,5,30.872658,10,13 7 12 ,0.000225
"max_div_20_3.txt",20,20,3,3,5,30.872658,20,13 12 7 ,0.000426
"max_div_20_3.txt",30,20,3,3,5,30.872658,30,7 13 12 ,0.000614
"max_div_20_3.txt",40,20,3,3,5,30.872658,40,12 13 7 ,0.000791
"max_div_20_3.txt",50,20,3,3,5,30.872658,50,12 7 13 ,0.000975
"max_div_20_3.txt",10,20,3,4,2,56.690310,10,13 12 16 2 ,0.000301
"max_div_20_3.txt",20,20,3,4,2,56.690310,20,13 12 16 2 ,0.000578
"max_div_20_3.txt",30,20,3,4,2,56.690310,30,13 12 16 2 ,0.000850
"max_div_20_3.txt",40,20,3,4,2,56.690310,40,13 12 16 2 ,0.001095
"max_div_20_3.txt",50,20,3,4,2,56.690310,50,13 12 16 2 ,0.001430
"max_div_20_3.txt",10,20,3,4,3,56.690310,10,16 13 12 2 ,0.000315
"max_div_20_3.txt",20,20,3,4,3,56.690310,20,16 13 12 2 ,0.000591
"max_div_20_3.txt",30,20,3,4,3,56.690310,30,16 12 13 2 ,0.000860
"max_div_20_3.txt",40,20,3,4,3,56.690310,40,16 13 12 2 ,0.001107
"max_div_20_3.txt",50,20,3,4,3,56.690310,50,16 12 13 2 ,0.001418
"max_div_20_3.txt",10,20,3,4,4,56.690310,10,13 16 12 2 ,0.000311
"max_div_20_3.txt",20,20,3,4,4,56.690310,20,13 16 12 2 ,0.000589
"max_div_20_3.txt",30,20,3,4,4,56.690310,30,13 16 12 2 ,0.000861
"max_div_20_3.txt",40,20,3,4,4,56.690310,40,13 16 12 2 ,0.001110
"max_div_20_3.txt",50,20,3,4,4,56.690310,50,13 12 16 2 ,0.001398
"max_div_20_3.txt",10,20,3,4,5,56.690310,10,13 16 12 2 ,0.000307
"max_div_20_3.txt",20,20,3,4,5,56.690310,20,16 13 12 2 ,0.000601
"max_div_20_3.txt",30,20,3,4,5,56.690310,30,13 12 16 2 ,0.000874
"max_div_20_3.txt",40,20,3,4,5,56.690310,40,16 12 13 2 ,0.001109
"max_div_20_3.txt",50,20,3,4,5,56.690310,50,16 13 12 2 ,0.001401
"max_div_20_3.txt",10,20,3,5,2,92.829743,10,13 12 7 2 16 ,0.000427
"max_div_20_3.txt",20,20,3,5,2,92.829743,20,12 2 13 7 16 ,0.000769
"max_div_20_3.txt",30,20,3,5,2,92.829743,30,16 13 7 2 12 ,0.001128
"max_div_20_3.txt",40,20,3,5,2,92.829743,40,13 12 7 2 16 ,0.001498
"max_div_20_3.txt",50,20,3,5,2,92.829743,50,13 12 7 2 16 ,0.001837
"max_div_20_3.txt",10,20,3,5,3,92.829743,10,16 2 7 12 13 ,0.000409
"max_div_20_3.txt",20,20,3,5,3,92.829743,20,12 13 7 16 2 ,0.000777
